"Uhorky poľné voľné";"2,39";"2,39";"kg";"";"";"ovocie-a-zelenina";"2002007947454";"260";"286260";
"Tesco Kešu oriešky jadrá 500 g";"7,29";"14,58";"kg";"";"";"ovocie-a-zelenina";"2005100597026";"392";"5051007150392";
"Višne v horkej čokoláde";"1,00";"9,99";"kg";"";"";"ovocie-a-zelenina";"2005100605042";"262";"282262";
"Tesco Zmes jadier suchých škrupinových plodov 200 g";"2,19";"10,95";"kg";"-26%";"2,99";"ovocie-a-zelenina";"2005100547191";"810";"5051007115810";
"Tesco Finest Klementínky 2,3 kg";"3,99";"1,73";"kg";"";"";"ovocie-a-zelenina";"2002016994203";"377";"8433262005377";
"Eisberg Simply Fresh Green Picnic môj šalát 80 g";"0,49";"6,13";"kg";"-37%";"0,79";"ovocie-a-zelenina";"2002020302973";"309";"5997659523309";
"The Grower's Harvest Petržlen balený 350 g";"1,29";"3,69";"kg";"";"";"ovocie-a-zelenina";"2002020288330";"562";"8588006420562";
"Tesco Finest Zmes pražených orieškov 150 g";"3,39";"22,60";"kg";"";"";"ovocie-a-zelenina";"2005100553531";"872";"5051007144872";
"Tesco Finest Zemiaky Sissi konzumné 1 kg";"0,99";"0,99";"kg";"";"";"ovocie-a-zelenina";"2002020194676";"463";"8588006420463";
"Tesco Party šalát mix 300 g";"1,09";"3,63";"kg";"-26%";"1,49";"ovocie-a-zelenina";"2002020243425";"841";"5051007102841";
"IBK Trade Jahody mrazom sušené, plátky 30 g";"2,99";"99,67";"kg";"";"";"ovocie-a-zelenina";"2005100630116";"294";"8592459010294";
"Mandarínky voľné";"1,89";"1,89";"kg";"";"";"ovocie-a-zelenina";"2002006558095";"050";"284050";
"Tesco Passion Fruit ks";"0,49";"0,49";"Kus";"-16%";"0,59";"ovocie-a-zelenina";"2002015090913";"251";"0000000020251";
"IBK Trade Machovka sušená 100 g";"1,99";"19,90";"kg";"";"";"ovocie-a-zelenina";"2005100630160";"553";"8592459010553";
"Tesco Konopné semená lúpané 100 g";"1,69";"16,90";"kg";"";"";"ovocie-a-zelenina";"2005100603512";"964";"5051007144964";
"Hrušky zelené ukladané";"1,99";"1,99";"kg";"";"";"ovocie-a-zelenina";"2002006557005";"421";"284421";
"Arašidy nelúpané pražené";"0,39";"3,89";"kg";"";"";"ovocie-a-zelenina";"2005100605044";"447";"281447";
